,gene_id,gene_name
395,ENSMUSG00000086151,Gm5698
396,ENSMUSG00000086726,Gm9458
397,ENSMUSG00000087346,Gm5699
398,ENSMUSG00000100371,Gm29669
399,ENSMUSG00000100237,Gm28644
400,ENSMUSG00000098529,Gm27362
401,ENSMUSG00000086727,4931428L18Rik
402,ENSMUSG00000100910,Gm29128
403,ENSMUSG00000099796,Gm7893
404,ENSMUSG00000050217,Lgsn
405,ENSMUSG00000026063,Pih1d3
406,ENSMUSG00000077664,Gm26145
407,ENSMUSG00000100205,Gm4850
408,ENSMUSG00000100592,Gm28645
409,ENSMUSG00000094215,Gm6489
410,ENSMUSG00000101093,Gm10307
411,ENSMUSG00000070960,Gm19680
412,ENSMUSG00000088620,Gm23032
413,ENSMUSG00000082159,Gm7910
414,ENSMUSG00000026058,Khdrbs2
415,ENSMUSG00000064688,Gm25814
416,ENSMUSG00000103482,Gm37999
417,ENSMUSG00000104498,Gm37110
418,ENSMUSG00000104313,Gm37911
419,ENSMUSG00000102865,Gm9839
420,ENSMUSG00000102321,Gm37792
421,ENSMUSG00000091318,Gm5415
422,ENSMUSG00000089489,Gm24732
423,ENSMUSG00000104433,Gm37426
424,ENSMUSG00000089395,Gm23024
425,ENSMUSG00000102926,Gm37151
426,ENSMUSG00000100497,Gm28624
427,ENSMUSG00000102917,Gm37724
428,ENSMUSG00000100481,Gm7114
429,ENSMUSG00000100590,Gm4785
430,ENSMUSG00000088750,Gm24901
431,ENSMUSG00000104230,Gm37591
432,ENSMUSG00000101754,Gm2987
433,ENSMUSG00000065223,Gm25792
434,ENSMUSG00000100318,Gm18799
435,ENSMUSG00000101612,Gm7933
436,ENSMUSG00000065260,Gm23453
437,ENSMUSG00000026134,Prim2
438,ENSMUSG00000101682,Gm29228
439,ENSMUSG00000102714,Gm37618
440,ENSMUSG00000102093,Gm17813
441,ENSMUSG00000103746,1700001G17Rik
442,ENSMUSG00000102198,Gm38173
443,ENSMUSG00000004768,Rab23
444,ENSMUSG00000042215,Bag2
445,ENSMUSG00000103072,Gm37905
446,ENSMUSG00000042197,Zfp451
447,ENSMUSG00000081402,Gm15455
448,ENSMUSG00000042182,Bend6
449,ENSMUSG00000104416,Gm37067
450,ENSMUSG00000026131,Dst
451,ENSMUSG00000103596,Gm37354
452,ENSMUSG00000099382,Gm28631
453,ENSMUSG00000084506,Gm23792
454,ENSMUSG00000103364,Gm38157
455,ENSMUSG00000105982,Mir6896
456,ENSMUSG00000096992,Gm26788
457,ENSMUSG00000103001,A930005N03Rik
458,ENSMUSG00000104397,Gm37958
459,ENSMUSG00000102839,Gm37385
460,ENSMUSG00000101206,Gm5266
461,ENSMUSG00000101462,Gm3052
462,ENSMUSG00000102336,Gm37233
463,ENSMUSG00000092852,Mir5103
464,ENSMUSG00000042111,Ccdc115
465,ENSMUSG00000101711,Gm28306
466,ENSMUSG00000026127,Imp4
467,ENSMUSG00000026126,Ptpn18
468,ENSMUSG00000100280,Gm28417
469,ENSMUSG00000101223,4930568A12Rik
470,ENSMUSG00000026125,Prss39
471,ENSMUSG00000101116,Gm28416
472,ENSMUSG00000026124,Cfc1
473,ENSMUSG00000101803,Gm28419
474,ENSMUSG00000037529,Prss40
475,ENSMUSG00000045815,1700101I19Rik
476,ENSMUSG00000045174,Amer3
477,ENSMUSG00000100524,Gm28418
478,ENSMUSG00000102499,Gm36984
479,ENSMUSG00000103521,Gm29730
480,ENSMUSG00000104098,AA619741
481,ENSMUSG00000037509,Arhgef4
482,ENSMUSG00000102537,Gm37224
483,ENSMUSG00000102612,Gm37845
484,ENSMUSG00000104002,Gm38336
485,ENSMUSG00000037503,Fam168b
486,ENSMUSG00000104358,Gm37127
487,ENSMUSG00000026123,Plekhb2
488,ENSMUSG00000103716,Gm19430
489,ENSMUSG00000103548,Gm37670
490,ENSMUSG00000103760,Gm8009
491,ENSMUSG00000103997,Gm38027
492,ENSMUSG00000077231,Gm25096
493,ENSMUSG00000104417,Gm37068
494,ENSMUSG00000064601,Gm25634
495,ENSMUSG00000101714,Gm28415
496,ENSMUSG00000102531,1110002O04Rik
497,ENSMUSG00000103096,Gm8022
498,ENSMUSG00000102279,Gm37146
499,ENSMUSG00000103708,Gm33222
500,ENSMUSG00000104201,4930535G08Rik
501,ENSMUSG00000102434,Gm38049
502,ENSMUSG00000045216,Hs6st1
503,ENSMUSG00000104523,Gm37335
504,ENSMUSG00000102202,Gm33280
505,ENSMUSG00000037470,Uggt1
506,ENSMUSG00000098752,Mir6897
507,ENSMUSG00000047180,Neurl3
508,ENSMUSG00000037447,Arid5a
509,ENSMUSG00000102762,4930403P22Rik
510,ENSMUSG00000010453,Kansl3
511,ENSMUSG00000098680,Mir6898
512,ENSMUSG00000037432,Fer1l5
513,ENSMUSG00000001143,Lman2l
514,ENSMUSG00000037408,Cnnm4
515,ENSMUSG00000104316,Gm37909
516,ENSMUSG00000106081,AC084391.1
517,ENSMUSG00000001138,Cnnm3
518,ENSMUSG00000102845,Gm38033
519,ENSMUSG00000067653,Ankrd23
520,ENSMUSG00000109510,Gm42417
521,ENSMUSG00000079610,Ankrd39
522,ENSMUSG00000026121,Sema4c
523,ENSMUSG00000087589,D430040D24Rik
524,ENSMUSG00000046337,Fam178b
525,ENSMUSG00000089906,Gm6428
526,ENSMUSG00000077939,Gm24133
527,ENSMUSG00000061518,Cox5b
528,ENSMUSG00000037351,Actr1b
529,ENSMUSG00000102416,4933424G06Rik
530,ENSMUSG00000104237,Gm33533
531,ENSMUSG00000026117,Zap70
532,ENSMUSG00000097291,Gm18828
533,ENSMUSG00000026116,Tmem131
534,ENSMUSG00000103016,Gm37506
535,ENSMUSG00000102930,Gm38115
536,ENSMUSG00000103159,F830112A20Rik
537,ENSMUSG00000080054,Rpl12-ps1
538,ENSMUSG00000095944,n-R5s210
539,ENSMUSG00000050122,Vwa3b
540,ENSMUSG00000103603,Gm37020
541,ENSMUSG00000026114,Cnga3
