Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,Slc43a1,,F13a1,,,,,,,,,,,Map4k3,OTTMUSG00000002191,,,,,,,,,,,,,,,Hdgfl3,,Mcm6,,Rgl1,
,Elf2,,Lamp2,,,,,,,,,,,Zfp619,Pex14,,,,,,,,,,,,,,,Hectd3,,Mcm8,,Rgs19,
,Casp3,,Aph1a,,,,,,,,,,,Cadps2,Spock1,,,,,,,,,,,,,,,Helz,,Mdc1,,Rgs2,
,Rrn3,,Ppm1f,,,,,,,,,,,Ccdc112,4921509C19Rik,,,,,,,,,,,,,,,Hgsnat,,Me2,,Rhbdl3,
,Fahd2a,,Hexb,,,,,,,,,,,Zbtb10,Slc22a3,,,,,,,,,,,,,,,Hid1,,Melk,,Rhoq,
,Slc7a1,,Cenpj,,,,,,,,,,,Cd4,EG666422,,,,,,,,,,,,,,,Hif3a,,Mesd,,Rnf114,
,1110004E09Rik,,P4hb,,,,,,,,,,,Serpinb9,Cpne4,,,,,,,,,,,,,,,Hilpda,,Mfsd2b,,Rnf144a,
,Ube2c,,Rcsd1,,,,,,,,,,,0610009L18Rik,5330417C22Rik,,,,,,,,,,,,,,,Hipk3,,Micos10,,Rnf150,
,Ppp2r1b,,Fndc3a,,,,,,,,,,,Slain1,LOC100044428,,,,,,,,,,,,,,,Hmg20a,,Micos13,,Rock1,
,Cldnd1,,Gnpda1,,,,,,,,,,,Thy1,LOC674596,,,,,,,,,,,,,,,Hmgcl,,Mis18a,,Rpl18a,
,Wac,,B230120H23Rik,,,,,,,,,,,Otos,Foxm1,,,,,,,,,,,,,,,Hmgn3,,Mis18bp1,,Rpl24,
